itm.itm_b   itm.itm_c  ydyn.beta_q   ytill.z0   ytill.cf_negis  yneff.delta
    -2.777    -29.776      0.909    -20.400      0.443      0.026
    -2.690    -28.176      0.190   -154.200      0.156      0.044
    -2.714    -26.368      0.259   -411.000      0.399      0.023
    -2.826    -26.988      0.419   -399.600      0.209      0.022
    -2.995    -28.980      0.837   -499.200      0.464      0.032
    -2.973    -29.980      0.320   -270.600      0.307      0.034
    -2.622    -28.360      0.900   -225.000      0.200      0.045
    -2.700    -26.552      0.441   -176.400      0.254      0.046
    -2.883    -27.564      0.532   -108.600      0.348      0.021
    -2.938    -28.328      0.953   -144.000      0.350      0.030
    -2.804    -26.816      0.144   -160.800      0.366      0.027
    -2.629    -28.156      0.286   -333.000      0.416      0.030
    -2.724    -27.532      0.528   -534.000      0.162      0.020
    -2.967    -29.828      0.925   -462.000      0.481      0.023
    -2.878    -26.080      0.888   -179.400      0.499      0.028
    -2.944    -27.144      0.267   -573.000      0.246      0.042
    -2.619    -28.712      0.219   -325.200      0.461      0.024
    -2.842    -27.264      0.995   -210.000      0.429      0.045
    -2.658    -26.004      0.315     -5.400      0.426      0.049
    -2.650    -26.220      0.849   -330.000      0.342      0.049
    -2.688    -29.648      0.084   -591.000      0.360      0.030
    -2.604    -26.652      0.543   -198.000      0.265      0.031
    -2.774    -29.412      0.793   -382.800      0.402      0.031
    -2.862    -27.504      0.674   -370.200      0.194      0.046
    -2.666    -26.952      0.842    -96.600      0.170      0.036
    -2.678    -26.848      0.743   -372.600      0.203      0.036
    -2.860    -26.904      0.462   -588.000      0.398      0.049
    -2.617    -29.724      0.853   -296.400      0.252      0.038
    -2.800    -26.464      0.716   -213.600      0.152      0.043
    -2.722    -26.484      0.809   -376.800      0.332      0.022
    -2.846    -26.404      0.585   -201.600      0.410      0.026
    -2.764    -26.260      0.301   -403.800      0.212      0.042
    -2.970    -28.664      0.914   -558.000      0.224      0.027
    -2.613    -26.120      0.629    -12.600      0.450      0.020
    -2.637    -28.344      0.968   -445.800      0.290      0.044
    -2.794    -26.588      0.091   -149.400      0.460      0.042
    -2.699    -28.492      0.566    -92.400      0.167      0.046
    -2.745    -29.740      0.065   -354.000      0.218      0.020
    -2.868    -26.148      0.056   -527.400      0.446      0.028
    -2.768    -27.876      0.886   -361.200      0.292      0.024
    -2.752    -28.856      0.384   -175.800      0.214      0.036
    -2.956    -26.616      0.069   -453.000      0.202      0.037
    -2.648    -28.484      0.627   -385.200      0.104      0.026
    -2.879    -29.472      0.235   -184.200      0.248      0.032
    -2.733    -28.640      0.745   -501.600      0.281      0.043
    -2.700    -27.236      0.893    -31.800      0.164      0.025
    -2.999    -29.260      0.194   -559.800      0.272      0.049
    -2.954    -26.352      0.609   -164.400      0.454      0.029
    -2.760    -29.992      0.137    -69.000      0.142      0.035
    -2.960    -29.292      0.128   -226.200      0.274      0.037
    -2.728    -28.212      0.569   -436.800      0.215      0.034
    -2.908    -27.900      0.413   -334.800      0.233      0.044
    -2.770    -27.596      0.731   -291.600      0.147      0.040
    -2.702    -28.148      0.472    -64.200      0.257      0.023
    -2.897    -27.628      0.359   -277.800      0.470      0.039
    -2.650    -27.764      0.545   -208.800      0.280      0.040
    -2.789    -29.152      0.050   -183.600      0.171      0.047
    -2.927    -29.416      0.013   -570.000      0.247      0.027
    -2.646    -28.124      0.767   -118.200      0.286      0.040
    -2.867    -29.512      0.159   -234.600      0.484      0.027
    -2.987    -29.944      0.991   -169.800      0.149      0.035
    -2.861    -29.072      0.762   -344.400      0.322      0.026
    -2.889    -27.444      0.866    -49.800      0.221      0.034
    -2.900    -26.432      0.112   -406.200      0.230      0.035
    -2.864    -27.052      0.980   -508.200      0.490      0.044
    -2.856    -28.004      0.572   -429.600      0.144      0.039
    -2.652    -26.640      0.255   -262.800      0.297      0.033
    -2.953    -27.076      0.348   -317.400      0.139      0.043
    -2.821    -26.740      0.072   -390.000      0.473      0.042
    -2.788    -29.856      0.334   -265.200      0.182      0.041
    -2.818    -26.708      0.476   -123.000      0.304      0.048
    -2.811    -27.020      0.387   -536.400      0.444      0.044
    -2.911    -28.312      0.719   -136.200      0.310      0.035
    -2.854    -28.420      0.198   -237.000      0.330      0.040
    -2.778    -27.324      0.869   -348.000      0.256      0.025
    -2.767    -29.760      0.706   -147.600      0.157      0.048
    -2.824    -29.020      0.231   -580.200      0.220      0.049
    -2.707    -28.632      0.860   -471.000      0.456      0.036
    -2.929    -27.128      0.958   -227.400      0.114      0.024
    -2.755    -27.700      0.293   -102.000      0.232      0.029
    -2.919    -27.048      0.323    -13.800      0.177      0.033
    -2.896    -29.364      0.484   -342.000      0.490      0.041
    -2.871    -27.340      0.554   -272.400      0.498      0.025
    -2.667    -28.260      0.310   -328.200      0.295      0.036
    -2.934    -28.440      0.596   -540.000      0.470      0.040
    -2.713    -26.028      0.903   -229.800      0.476      0.043
    -2.836    -26.672      0.346   -312.000      0.419      0.044
    -2.922    -27.104      0.948   -547.800      0.359      0.036
    -2.786    -26.204      0.645   -599.400      0.190      0.039
    -2.676    -27.156      0.613   -561.600      0.336      0.029
    -2.675    -28.524      0.675   -118.200      0.184      0.030
    -2.983    -28.460      0.654   -538.800      0.226      0.043
    -2.804    -27.168      0.037   -153.600      0.217      0.038
    -2.915    -28.788      0.521   -208.200      0.435      0.037
    -2.682    -29.264      0.691   -419.400      0.449      0.023
    -2.797    -26.460      0.811     -7.200      0.433      0.022
    -2.633    -26.508      0.617   -330.600      0.355      0.028
    -2.984    -29.708      0.942     -8.400      0.122      0.020
    -2.936    -28.080      0.946   -316.200      0.375      0.033
    -2.727    -26.724      0.226    -82.800      0.482      0.023
    -2.621    -29.656      0.425    -99.000      0.475      0.037
    -2.935    -27.332      0.102   -294.600      0.344      0.038
    -2.965    -29.140      0.905   -426.600      0.102      0.026
    -2.891    -29.056      0.986   -531.000      0.483      0.035
    -2.737    -26.572      0.739    -51.600      0.193      0.043
    -2.638    -28.872      0.492   -306.000      0.154      0.023
    -2.792    -28.056      0.019   -220.800      0.260      0.021
    -2.886    -28.520      0.937   -172.200      0.268      0.039
    -2.942    -26.588      0.099   -133.200      0.339      0.031
    -2.779    -28.100      0.183   -439.800      0.479      0.026
    -2.781    -26.388      0.950   -381.000      0.337      0.024
    -2.873    -27.880      0.856    -82.200      0.320      0.022
    -2.731    -26.896      0.727   -598.200      0.278      0.043
    -2.793    -29.736      0.540   -379.800      0.192      0.037
    -2.656    -27.924      0.336   -415.200      0.306      0.048
    -2.685    -26.296      0.263    -88.800      0.344      0.040
    -2.610    -27.776      0.080    -73.200      0.448      0.040
    -2.681    -29.216      0.260   -510.600      0.116      0.045
    -2.626    -26.524      0.777   -133.800      0.120      0.038
    -2.887    -27.756      0.846   -223.200      0.487      0.042
    -2.926    -28.272      0.751    -28.800      0.133      0.042
    -2.934    -28.680      0.584   -108.600      0.382      0.028
    -2.950    -28.316      0.340   -526.200      0.323      0.049
    -2.762    -28.408      0.622   -482.400      0.489      0.042
    -2.665    -29.456      0.699    -85.800      0.392      0.038
    -2.958    -27.964      0.679    -35.400      0.261      0.022
    -2.697    -29.600      0.896   -294.000      0.105      0.048
    -2.614    -28.092      0.138   -140.400      0.456      0.022
    -2.783    -28.032      0.652   -589.800      0.385      0.035
    -2.704    -26.068      0.352    -66.000      0.365      0.020
    -2.832    -28.620      0.465   -255.000      0.346      0.025
    -2.885    -27.356      0.859    -10.200      0.166      0.030
    -2.813    -28.832      0.317    -26.400      0.224      0.028
    -2.696    -28.400      0.725    -22.800      0.238      0.050
    -2.669    -28.300      0.028   -363.000      0.286      0.025
    -2.731    -29.964      0.695   -520.800      0.353      0.046
    -2.710    -26.092      0.562   -544.800      0.406      0.047
    -2.603    -29.088      0.411    -57.600      0.417      0.038
    -2.641    -28.232      0.282   -284.400      0.171      0.035
    -2.964    -29.048      0.508   -358.800      0.293      0.031
    -2.747    -28.172      0.403   -322.200      0.117      0.035
    -2.824    -29.500      0.244   -114.600      0.478      0.025
    -2.750    -29.528      0.644   -395.400      0.210      0.045
    -2.741    -27.996      0.911   -529.800      0.113      0.040
    -2.914    -27.456      0.778    -22.200      0.329      0.024
    -2.946    -26.160      0.151   -496.800      0.312      0.021
    -2.610    -29.308      0.960    -63.000      0.127      0.041
    -2.944    -26.132      0.479     -1.200      0.454      0.022
    -2.898    -27.544      0.527   -376.200      0.180      0.035
    -2.993    -28.848      0.657    -91.800      0.405      0.034
    -2.830    -27.116      0.603    -79.200      0.186      0.041
    -2.640    -28.728      0.636   -273.600      0.121      0.024
    -2.874    -28.928      0.270   -244.200      0.201      0.021
    -2.910    -27.620      0.133   -111.600      0.458      0.035
    -2.907    -26.332      0.447   -338.400      0.290      0.048
    -2.690    -27.576      0.604   -151.800      0.186      0.024
    -2.721    -28.892      0.008   -417.000      0.381      0.023
    -2.712    -26.868      0.432    -48.600      0.378      0.037
    -2.763    -27.796      0.353   -301.200      0.148      0.028
    -2.941    -27.820      0.331   -490.800      0.314      0.026
    -2.780    -27.400      0.186   -408.000      0.176      0.021
    -2.894    -29.008      0.497   -249.600      0.180      0.029
    -2.692    -28.876      0.683   -505.200      0.128      0.031
    -2.772    -28.740      0.795   -504.000      0.216      0.037
    -2.659    -26.812      0.059    -40.800      0.173      0.033
    -2.750    -26.272      0.927   -432.000      0.124      0.032
    -2.740    -28.972      0.399   -311.400      0.168      0.033
    -2.807    -28.924      0.700    -61.800      0.160      0.038
    -2.773    -27.708      0.813    -38.400      0.340      0.045
    -2.815    -27.368      0.416   -555.000      0.188      0.044
    -2.789    -26.604      0.817   -420.600      0.299      0.048
    -2.753    -27.212      0.161   -442.800      0.440      0.047
    -2.991    -28.824      0.799   -396.000      0.387      0.024
    -2.917    -26.728      0.917   -199.200      0.250      0.039
    -2.829    -28.564      0.516   -307.800      0.263      0.040
    -2.618    -26.424      0.105   -427.800      0.430      0.032
    -2.760    -29.868      0.038   -364.800      0.253      0.047
    -2.992    -29.924      0.181    -17.400      0.277      0.039
    -2.843    -26.860      0.026   -124.200      0.362      0.031
    -2.880    -26.776      0.452   -339.600      0.426      0.028
    -2.736    -29.480      0.344   -351.000      0.492      0.045
    -2.677    -29.340      0.831    -43.800      0.281      0.033
    -2.634    -29.212      0.204   -585.000      0.402      0.032
    -2.624    -27.468      0.168   -546.000      0.208      0.037
    -2.802    -29.804      0.369   -288.000      0.301      0.026
    -2.655    -27.492      0.993   -138.600      0.190      0.049
    -2.940    -26.448      0.240    -33.600      0.401      0.023
    -2.683    -26.792      0.786   -103.800      0.262      0.038
    -2.833    -29.556      0.086   -465.000      0.228      0.041
    -2.997    -29.352      0.872   -319.200      0.153      0.027
    -2.866    -28.656      0.115   -129.600      0.358      0.045
    -2.662    -28.464      0.218   -141.000      0.328      0.032
    -2.817    -27.480      0.863   -523.800      0.198      0.042
    -2.642    -27.300      0.001   -357.000      0.372      0.034
    -2.730    -27.948      0.755   -448.800      0.317      0.050
    -2.664    -26.884      0.273    -72.600      0.396      0.046
    -2.656    -28.904      0.296   -356.400      0.204      0.047
    -2.771    -28.072      0.175   -290.400      0.125      0.048
    -2.635    -26.276      0.060   -129.600      0.493      0.037
    -2.826    -29.196      0.939   -302.400      0.318      0.029
    -2.892    -27.660      0.499   -456.000      0.178      0.043
    -2.923    -27.184      0.005   -577.800      0.230      0.024
    -2.976    -29.392      0.732   -441.600      0.388      0.021
    -2.846    -27.188      0.368    -59.400      0.118      0.034
    -2.859    -29.104      0.802   -100.800      0.352      0.050
    -2.882    -29.824      0.505   -477.000      0.432      0.021
    -2.902    -27.072      0.203    -75.600      0.315      0.033
    -2.865    -27.640      0.878   -167.400      0.104      0.034
    -2.710    -26.496      0.834   -261.000      0.406      0.041
    -2.950    -26.696      0.976   -350.400      0.434      0.039
    -2.644    -28.548      0.388   -478.200      0.294      0.039
    -2.875    -29.912      0.666   -248.400      0.236      0.030
    -2.956    -28.024      0.825    -26.400      0.422      0.046
    -2.888    -27.720      0.303   -298.800      0.240      0.029
    -2.715    -29.632      0.117   -268.200      0.196      0.043
    -2.835    -27.736      0.964   -157.800      0.452      0.027
